item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
0c8ba893-7a5e-47b8-a62d-ced867ab103f,BatchA9,,76057,0.0073937512309434914,0.0033643188847633254,2021-09-06T10:03:26Z,broyet
d730e80c-49f3-4a55-af31-de0e39407f50,BatchA9,,117619,0.012122116133049268,0.0047806342471057783,2021-09-06T10:03:39Z,broyet
ee55a81e-f85a-4ff9-99ac-08c9c3269359,BatchA9,,76479,0.0081931729515446576,0.0037153056142855225,2021-09-06T10:03:46Z,broyet
dd6aa3cd-b844-48da-b2c4-283a864ee472,BatchA9,,113127,0.010486638361472619,0.0041780541771358369,2021-09-06T10:03:56Z,broyet
6a3c548e-1d05-4a32-be9f-8462ac7ca6ab,BatchA9,,69571,0.004782650422906533,0.0031447904045586975,2021-09-06T10:04:04Z,broyet
8d605348-1d50-4df6-a26e-3a76e9145640,BatchA9,,34693,0.0055852816586747477,0.002592956640618491,2021-09-06T10:04:08Z,broyet
e6395041-7bab-48f3-9dcd-9effec5fc281,BatchA9,,68610,0.0053075117167822412,0.0031098460897612339,2021-09-06T10:04:15Z,broyet
b7f052c4-3b85-4d35-a281-658df02455a8,BatchA9,,49814,0.0054554341549270394,0.0023612355869763479,2021-09-06T10:04:20Z,broyet
c8bcaed8-4eb2-4428-a8b7-0f3ff201bd90,BatchA9,,31127,0.0059601840488651857,0.002592869250149483,2021-09-06T10:04:24Z,broyet
b3f20910-59bf-4e96-8f83-3ffa60ce5854,BatchA9,,74982,0.0050584080581688486,0.0025960249091750583,2021-09-06T10:04:31Z,broyet
83f739bf-1ee2-4f32-8451-76a30cbc9560,BatchA9,,48663,0.0039233228033635865,0.0022234519696139239,2021-09-06T10:04:37Z,broyet
d605c196-b17b-4c24-a953-a3b2c1dd9195,BatchA9,,68317,0.0081697911047837884,0.0032265502232899077,2021-09-06T10:04:44Z,broyet
181c6b0c-248e-4d0b-b2d8-d2100773aeb7,BatchA9,,51262,0.0027327455984626587,0.0015565200009823579,2021-09-06T10:04:49Z,broyet
388d7b76-7bc6-480d-9817-cbce24b8c0da,BatchA9,,60044,0.0053464406863056599,0.0026912271197894826,2021-09-06T10:04:55Z,broyet
BatchA5,GuberNaturSteine
0534f1c1-da40-4d71-b95c-de532af0fa13,BatchA5,,42584,0.0012613393011606266,0.00067357809111874513,2021-09-03T19:32:33Z,broyet
10531d21-f81b-4d68-accd-735152fdab08,BatchA5,,40058,0.0011790331731690801,0.00047588994658231558,2021-09-03T19:32:38Z,broyet
eb7047ab-d83b-4451-90f8-28c0396f5e18,BatchA5,,37492,0.0008309677900873154,0.00047559941180067418,2021-09-03T19:32:43Z,broyet
073ac15d-8ad2-4758-9c8c-5f8339b97edb,BatchA5,,25988,0.00068448348678504906,0.00042043446624825991,2021-09-03T19:32:47Z,broyet
daa1a5e2-3175-416e-8740-c49bbd30b06c,BatchA5,,27374,0.0010351188972124161,0.00060327892459284148,2021-09-03T19:32:51Z,broyet
